candidate,votes,region,oblast
Бабурин Сергей Николаевич,15,Республика Алтай,Улаганская
Грудинин Павел Николаевич,774,Республика Алтай,Улаганская
Жириновский Владимир Вольфович,149,Республика Алтай,Улаганская
Путин Владимир Владимирович,3835,Республика Алтай,Улаганская
Собчак Ксения Анатольевна,39,Республика Алтай,Улаганская
Сурайкин Максим Александрович,14,Республика Алтай,Улаганская
Титов Борис Юрьевич,13,Республика Алтай,Улаганская
Явлинский Григорий Алексеевич,14,Республика Алтай,Улаганская
Бабурин Сергей Николаевич,17,Республика Алтай,Усть-Канская
Грудинин Павел Николаевич,1101,Республика Алтай,Усть-Канская
Жириновский Владимир Вольфович,214,Республика Алтай,Усть-Канская
Путин Владимир Владимирович,6579,Республика Алтай,Усть-Канская
Собчак Ксения Анатольевна,59,Республика Алтай,Усть-Канская
Сурайкин Максим Александрович,32,Республика Алтай,Усть-Канская
Титов Борис Юрьевич,14,Республика Алтай,Усть-Канская
Явлинский Григорий Алексеевич,25,Республика Алтай,Усть-Канская
Бабурин Сергей Николаевич,36,Республика Алтай,Усть-Коксинская
Грудинин Павел Николаевич,1603,Республика Алтай,Усть-Коксинская
Жириновский Владимир Вольфович,555,Республика Алтай,Усть-Коксинская
Путин Владимир Владимирович,5977,Республика Алтай,Усть-Коксинская
Собчак Ксения Анатольевна,52,Республика Алтай,Усть-Коксинская
Сурайкин Максим Александрович,41,Республика Алтай,Усть-Коксинская
Титов Борис Юрьевич,16,Республика Алтай,Усть-Коксинская
Явлинский Григорий Алексеевич,9,Республика Алтай,Усть-Коксинская
Бабурин Сергей Николаевич,29,Республика Алтай,Чемальская
Грудинин Павел Николаевич,910,Республика Алтай,Чемальская
Жириновский Владимир Вольфович,314,Республика Алтай,Чемальская
Путин Владимир Владимирович,3751,Республика Алтай,Чемальская
Собчак Ксения Анатольевна,31,Республика Алтай,Чемальская
Сурайкин Максим Александрович,25,Республика Алтай,Чемальская
Титов Борис Юрьевич,19,Республика Алтай,Чемальская
Явлинский Григорий Алексеевич,24,Республика Алтай,Чемальская
Бабурин Сергей Николаевич,13,Республика Алтай,Чойская
Грудинин Павел Николаевич,1114,Республика Алтай,Чойская
Жириновский Владимир Вольфович,326,Республика Алтай,Чойская
Путин Владимир Владимирович,2787,Республика Алтай,Чойская
Собчак Ксения Анатольевна,25,Республика Алтай,Чойская
Сурайкин Максим Александрович,14,Республика Алтай,Чойская
Титов Борис Юрьевич,17,Республика Алтай,Чойская
Явлинский Григорий Алексеевич,6,Республика Алтай,Чойская
Бабурин Сергей Николаевич,23,Республика Алтай,Шебалинская
Грудинин Павел Николаевич,1369,Республика Алтай,Шебалинская
Жириновский Владимир Вольфович,333,Республика Алтай,Шебалинская
Путин Владимир Владимирович,4812,Республика Алтай,Шебалинская
Собчак Ксения Анатольевна,45,Республика Алтай,Шебалинская
Сурайкин Максим Александрович,22,Республика Алтай,Шебалинская
Титов Борис Юрьевич,10,Республика Алтай,Шебалинская
Явлинский Григорий Алексеевич,19,Республика Алтай,Шебалинская
Бабурин Сергей Николаевич,124,Республика Башкортостан,Абзелиловская
Грудинин Павел Николаевич,5634,Республика Башкортостан,Абзелиловская
Жириновский Владимир Вольфович,819,Республика Башкортостан,Абзелиловская
Путин Владимир Владимирович,18546,Республика Башкортостан,Абзелиловская
Собчак Ксения Анатольевна,335,Республика Башкортостан,Абзелиловская
Сурайкин Максим Александрович,195,Республика Башкортостан,Абзелиловская
Титов Борис Юрьевич,124,Республика Башкортостан,Абзелиловская
Явлинский Григорий Алексеевич,90,Республика Башкортостан,Абзелиловская
Бабурин Сергей Николаевич,44,Республика Башкортостан,Агидельская городская
Грудинин Павел Николаевич,1291,Республика Башкортостан,Агидельская городская
Жириновский Владимир Вольфович,320,Республика Башкортостан,Агидельская городская
Путин Владимир Владимирович,6642,Республика Башкортостан,Агидельская городская
Собчак Ксения Анатольевна,92,Республика Башкортостан,Агидельская городская
Сурайкин Максим Александрович,92,Республика Башкортостан,Агидельская городская
Титов Борис Юрьевич,61,Республика Башкортостан,Агидельская городская
Явлинский Григорий Алексеевич,42,Республика Башкортостан,Агидельская городская
Бабурин Сергей Николаевич,138,Республика Башкортостан,Альшеевская
Грудинин Павел Николаевич,2614,Республика Башкортостан,Альшеевская
Жириновский Владимир Вольфович,1310,Республика Башкортостан,Альшеевская
Путин Владимир Владимирович,21927,Республика Башкортостан,Альшеевская
Собчак Ксения Анатольевна,197,Республика Башкортостан,Альшеевская
Сурайкин Максим Александрович,267,Республика Башкортостан,Альшеевская
Титов Борис Юрьевич,142,Республика Башкортостан,Альшеевская
Явлинский Григорий Алексеевич,126,Республика Башкортостан,Альшеевская
Бабурин Сергей Николаевич,69,Республика Башкортостан,Архангельская
Грудинин Павел Николаевич,850,Республика Башкортостан,Архангельская
Жириновский Владимир Вольфович,647,Республика Башкортостан,Архангельская
Путин Владимир Владимирович,11041,Республика Башкортостан,Архангельская
Собчак Ксения Анатольевна,125,Республика Башкортостан,Архангельская
Сурайкин Максим Александрович,106,Республика Башкортостан,Архангельская
Титов Борис Юрьевич,70,Республика Башкортостан,Архангельская
Явлинский Григорий Алексеевич,61,Республика Башкортостан,Архангельская
Бабурин Сергей Николаевич,62,Республика Башкортостан,Аскинская
Грудинин Павел Николаевич,2146,Республика Башкортостан,Аскинская
Жириновский Владимир Вольфович,674,Республика Башкортостан,Аскинская
Путин Владимир Владимирович,9555,Республика Башкортостан,Аскинская
Собчак Ксения Анатольевна,107,Республика Башкортостан,Аскинская
Сурайкин Максим Александрович,97,Республика Башкортостан,Аскинская
Титов Борис Юрьевич,53,Республика Башкортостан,Аскинская
Явлинский Григорий Алексеевич,27,Республика Башкортостан,Аскинская
Бабурин Сергей Николаевич,117,Республика Башкортостан,Аургазинская
Грудинин Павел Николаевич,3621,Республика Башкортостан,Аургазинская
Жириновский Владимир Вольфович,734,Республика Башкортостан,Аургазинская
Путин Владимир Владимирович,17689,Республика Башкортостан,Аургазинская
Собчак Ксения Анатольевна,168,Республика Башкортостан,Аургазинская
Сурайкин Максим Александрович,161,Республика Башкортостан,Аургазинская
Титов Борис Юрьевич,75,Республика Башкортостан,Аургазинская
Явлинский Григорий Алексеевич,50,Республика Башкортостан,Аургазинская
Бабурин Сергей Николаевич,120,Республика Башкортостан,Баймакская
Грудинин Павел Николаевич,4692,Республика Башкортостан,Баймакская
Жириновский Владимир Вольфович,888,Республика Башкортостан,Баймакская
Путин Владимир Владимирович,25913,Республика Башкортостан,Баймакская
Собчак Ксения Анатольевна,242,Республика Башкортостан,Баймакская
Сурайкин Максим Александрович,193,Республика Башкортостан,Баймакская
Титов Борис Юрьевич,117,Республика Башкортостан,Баймакская
Явлинский Григорий Алексеевич,117,Республика Башкортостан,Баймакская
Бабурин Сергей Николаевич,60,Республика Башкортостан,Бакалинская
Грудинин Павел Николаевич,1424,Республика Башкортостан,Бакалинская
Жириновский Владимир Вольфович,398,Республика Башкортостан,Бакалинская
Путин Владимир Владимирович,17856,Республика Башкортостан,Бакалинская
Собчак Ксения Анатольевна,111,Республика Башкортостан,Бакалинская
Сурайкин Максим Александрович,89,Республика Башкортостан,Бакалинская
Титов Борис Юрьевич,46,Республика Башкортостан,Бакалинская
Явлинский Григорий Алексеевич,45,Республика Башкортостан,Бакалинская
Бабурин Сергей Николаевич,63,Республика Башкортостан,Балтачевская
Грудинин Павел Николаевич,1200,Республика Башкортостан,Балтачевская
Жириновский Владимир Вольфович,629,Республика Башкортостан,Балтачевская
Путин Владимир Владимирович,10898,Республика Башкортостан,Балтачевская
Собчак Ксения Анатольевна,112,Республика Башкортостан,Балтачевская
Сурайкин Максим Александрович,102,Республика Башкортостан,Балтачевская
Титов Борис Юрьевич,55,Республика Башкортостан,Балтачевская
Явлинский Григорий Алексеевич,52,Республика Башкортостан,Балтачевская
Бабурин Сергей Николаевич,334,Республика Башкортостан,Белебеевская
Грудинин Павел Николаевич,6633,Республика Башкортостан,Белебеевская
Жириновский Владимир Вольфович,2813,Республика Башкортостан,Белебеевская
Путин Владимир Владимирович,44813,Республика Башкортостан,Белебеевская
Собчак Ксения Анатольевна,532,Республика Башкортостан,Белебеевская
Сурайкин Максим Александрович,482,Республика Башкортостан,Белебеевская
Титов Борис Юрьевич,283,Республика Башкортостан,Белебеевская
Явлинский Григорий Алексеевич,400,Республика Башкортостан,Белебеевская
