candidate,votes,region,oblast
Сурайкин Максим Александрович,268,Московская область,Дубненская городская
Титов Борис Юрьевич,503,Московская область,Дубненская городская
Явлинский Григорий Алексеевич,721,Московская область,Дубненская городская
Бабурин Сергей Николаевич,298,Московская область,Егорьевская городская
Грудинин Павел Николаевич,6138,Московская область,Егорьевская городская
Жириновский Владимир Вольфович,3126,Московская область,Егорьевская городская
Путин Владимир Владимирович,36005,Московская область,Егорьевская городская
Собчак Ксения Анатольевна,620,Московская область,Егорьевская городская
Сурайкин Максим Александрович,307,Московская область,Егорьевская городская
Титов Борис Юрьевич,342,Московская область,Егорьевская городская
Явлинский Григорий Алексеевич,357,Московская область,Егорьевская городская
Бабурин Сергей Николаевич,446,Московская область,Жуковская городская
Грудинин Павел Николаевич,6420,Московская область,Жуковская городская
Жириновский Владимир Вольфович,2238,Московская область,Жуковская городская
Путин Владимир Владимирович,32905,Московская область,Жуковская городская
Собчак Ксения Анатольевна,1323,Московская область,Жуковская городская
Сурайкин Максим Александрович,390,Московская область,Жуковская городская
Титов Борис Юрьевич,587,Московская область,Жуковская городская
Явлинский Григорий Алексеевич,1105,Московская область,Жуковская городская
Бабурин Сергей Николаевич,131,Московская область,Зарайская городская
Грудинин Павел Николаевич,3855,Московская область,Зарайская городская
Жириновский Владимир Вольфович,1252,Московская область,Зарайская городская
Путин Владимир Владимирович,13035,Московская область,Зарайская городская
Собчак Ксения Анатольевна,176,Московская область,Зарайская городская
Сурайкин Максим Александрович,105,Московская область,Зарайская городская
Титов Борис Юрьевич,94,Московская область,Зарайская городская
Явлинский Григорий Алексеевич,97,Московская область,Зарайская городская
Бабурин Сергей Николаевич,136,Московская область,Звенигородская городская
Грудинин Павел Николаевич,1810,Московская область,Звенигородская городская
Жириновский Владимир Вольфович,701,Московская область,Звенигородская городская
Путин Владимир Владимирович,9542,Московская область,Звенигородская городская
Собчак Ксения Анатольевна,331,Московская область,Звенигородская городская
Сурайкин Максим Александрович,79,Московская область,Звенигородская городская
Титов Борис Юрьевич,129,Московская область,Звенигородская городская
Явлинский Григорий Алексеевич,170,Московская область,Звенигородская городская
Бабурин Сергей Николаевич,21,Московская область,Звездный городок городская
Грудинин Павел Николаевич,426,Московская область,Звездный городок городская
Жириновский Владимир Вольфович,144,Московская область,Звездный городок городская
Путин Владимир Владимирович,2417,Московская область,Звездный городок городская
Собчак Ксения Анатольевна,87,Московская область,Звездный городок городская
Сурайкин Максим Александрович,23,Московская область,Звездный городок городская
Титов Борис Юрьевич,36,Московская область,Звездный городок городская
Явлинский Григорий Алексеевич,57,Московская область,Звездный городок городская
Бабурин Сергей Николаевич,238,Московская область,Ивантеевская городская
Грудинин Павел Николаевич,3823,Московская область,Ивантеевская городская
Жириновский Владимир Вольфович,1922,Московская область,Ивантеевская городская
Путин Владимир Владимирович,26505,Московская область,Ивантеевская городская
Собчак Ксения Анатольевна,775,Московская область,Ивантеевская городская
Сурайкин Максим Александрович,222,Московская область,Ивантеевская городская
Титов Борис Юрьевич,328,Московская область,Ивантеевская городская
Явлинский Григорий Алексеевич,451,Московская область,Ивантеевская городская
Бабурин Сергей Николаевич,429,Московская область,Истринская городская
Грудинин Павел Николаевич,7681,Московская область,Истринская городская
Жириновский Владимир Вольфович,3629,Московская область,Истринская городская
Путин Владимир Владимирович,47220,Московская область,Истринская городская
Собчак Ксения Анатольевна,1353,Московская область,Истринская городская
Сурайкин Максим Александрович,397,Московская область,Истринская городская
Титов Борис Юрьевич,683,Московская область,Истринская городская
Явлинский Григорий Алексеевич,801,Московская область,Истринская городская
Бабурин Сергей Николаевич,193,Московская область,Каширская городская
Грудинин Павел Николаевич,4467,Московская область,Каширская городская
Жириновский Владимир Вольфович,2060,Московская область,Каширская городская
Путин Владимир Владимирович,24958,Московская область,Каширская городская
Собчак Ксения Анатольевна,320,Московская область,Каширская городская
Сурайкин Максим Александрович,242,Московская область,Каширская городская
Титов Борис Юрьевич,202,Московская область,Каширская городская
Явлинский Григорий Алексеевич,254,Московская область,Каширская городская
Бабурин Сергей Николаевич,474,Московская область,Клинская городская
Грудинин Павел Николаевич,8393,Московская область,Клинская городская
Жириновский Владимир Вольфович,4805,Московская область,Клинская городская
Путин Владимир Владимирович,47926,Московская область,Клинская городская
Собчак Ксения Анатольевна,1114,Московская область,Клинская городская
Сурайкин Максим Александрович,492,Московская область,Клинская городская
Титов Борис Юрьевич,726,Московская область,Клинская городская
Явлинский Григорий Алексеевич,581,Московская область,Клинская городская
Бабурин Сергей Николаевич,704,Московская область,Коломенская городская
Грудинин Павел Николаевич,14648,Московская область,Коломенская городская
Жириновский Владимир Вольфович,5940,Московская область,Коломенская городская
Путин Владимир Владимирович,72117,Московская область,Коломенская городская
Собчак Ксения Анатольевна,1578,Московская область,Коломенская городская
Сурайкин Максим Александрович,677,Московская область,Коломенская городская
Титов Борис Юрьевич,764,Московская область,Коломенская городская
Явлинский Григорий Алексеевич,992,Московская область,Коломенская городская
Бабурин Сергей Николаевич,669,Московская область,Королевская городская
Грудинин Павел Николаевич,10096,Московская область,Королевская городская
Жириновский Владимир Вольфович,4122,Московская область,Королевская городская
Путин Владимир Владимирович,55891,Московская область,Королевская городская
Собчак Ксения Анатольевна,2314,Московская область,Королевская городская
Сурайкин Максим Александрович,534,Московская область,Королевская городская
Титов Борис Юрьевич,1031,Московская область,Королевская городская
Явлинский Григорий Алексеевич,1809,Московская область,Королевская городская
Бабурин Сергей Николаевич,57,Московская область,Котельниковская поселковая
Грудинин Павел Николаевич,1575,Московская область,Котельниковская поселковая
Жириновский Владимир Вольфович,1117,Московская область,Котельниковская поселковая
Путин Владимир Владимирович,15668,Московская область,Котельниковская поселковая
Собчак Ксения Анатольевна,349,Московская область,Котельниковская поселковая
Сурайкин Максим Александрович,55,Московская область,Котельниковская поселковая
Титов Борис Юрьевич,137,Московская область,Котельниковская поселковая
Явлинский Григорий Алексеевич,158,Московская область,Котельниковская поселковая
Бабурин Сергей Николаевич,96,Московская область,Красноармейская городская
Грудинин Павел Николаевич,1659,Московская область,Красноармейская городская
Жириновский Владимир Вольфович,748,Московская область,Красноармейская городская
Путин Владимир Владимирович,8230,Московская область,Красноармейская городская
Собчак Ксения Анатольевна,216,Московская область,Красноармейская городская
Сурайкин Максим Александрович,93,Московская область,Красноармейская городская
Титов Борис Юрьевич,123,Московская область,Красноармейская городская
Явлинский Григорий Алексеевич,186,Московская область,Красноармейская городская
Бабурин Сергей Николаевич,607,Московская область,Красногорская городская
Грудинин Павел Николаевич,9873,Московская область,Красногорская городская
Жириновский Владимир Вольфович,3821,Московская область,Красногорская городская
Путин Владимир Владимирович,56732,Московская область,Красногорская городская
Собчак Ксения Анатольевна,3095,Московская область,Красногорская городская
Сурайкин Максим Александрович,521,Московская область,Красногорская городская
Титов Борис Юрьевич,1204,Московская область,Красногорская городская
Явлинский Григорий Алексеевич,1688,Московская область,Красногорская городская
Бабурин Сергей Николаевич,181,Московская область,Краснознаменская городская
Грудинин Павел Николаевич,2686,Московская область,Краснознаменская городская
Жириновский Владимир Вольфович,981,Московская область,Краснознаменская городская
Путин Владимир Владимирович,15702,Московская область,Краснознаменская городская
Собчак Ксения Анатольевна,510,Московская область,Краснознаменская городская
Сурайкин Максим Александрович,162,Московская область,Краснознаменская городская
Титов Борис Юрьевич,281,Московская область,Краснознаменская городская
Явлинский Григорий Алексеевич,302,Московская область,Краснознаменская городская
Бабурин Сергей Николаевич,266,Московская область,Ленинская
Грудинин Павел Николаевич,20428,Московская область,Ленинская
Жириновский Владимир Вольфович,1796,Московская область,Ленинская
Путин Владимир Владимирович,38667,Московская область,Ленинская
Собчак Ксения Анатольевна,1290,Московская область,Ленинская
Сурайкин Максим Александрович,232,Московская область,Ленинская
Титов Борис Юрьевич,458,Московская область,Ленинская
Явлинский Григорий Алексеевич,645,Московская область,Ленинская
Бабурин Сергей Николаевич,349,Московская область,Лобненская городская
Грудинин Павел Николаевич,5198,Московская область,Лобненская городская
Жириновский Владимир Вольфович,2610,Московская область,Лобненская городская
Путин Владимир Владимирович,34030,Московская область,Лобненская городская
Собчак Ксения Анатольевна,1109,Московская область,Лобненская городская
Сурайкин Максим Александрович,316,Московская область,Лобненская городская
Титов Борис Юрьевич,534,Московская область,Лобненская городская
Явлинский Григорий Алексеевич,713,Московская область,Лобненская городская
Бабурин Сергей Николаевич,39,Московская область,Лосино-Петровская городская
Грудинин Павел Николаевич,455,Московская область,Лосино-Петровская городская
Жириновский Владимир Вольфович,460,Московская область,Лосино-Петровская городская
Путин Владимир Владимирович,11633,Московская область,Лосино-Петровская городская
Собчак Ксения Анатольевна,73,Московская область,Лосино-Петровская городская
Сурайкин Максим Александрович,59,Московская область,Лосино-Петровская городская
Титов Борис Юрьевич,42,Московская область,Лосино-Петровская городская
Явлинский Григорий Алексеевич,44,Московская область,Лосино-Петровская городская
Бабурин Сергей Николаевич,52,Московская область,Лотошинская
Грудинин Павел Николаевич,1377,Московская область,Лотошинская
Жириновский Владимир Вольфович,500,Московская область,Лотошинская
Путин Владимир Владимирович,5847,Московская область,Лотошинская
Собчак Ксения Анатольевна,92,Московская область,Лотошинская
Сурайкин Максим Александрович,46,Московская область,Лотошинская
Титов Борис Юрьевич,43,Московская область,Лотошинская
Явлинский Григорий Алексеевич,37,Московская область,Лотошинская
Бабурин Сергей Николаевич,204,Московская область,Луховицкая городская
Грудинин Павел Николаевич,4682,Московская область,Луховицкая городская
Жириновский Владимир Вольфович,2135,Московская область,Луховицкая городская
Путин Владимир Владимирович,24436,Московская область,Луховицкая городская
Собчак Ксения Анатольевна,421,Московская область,Луховицкая городская
Сурайкин Максим Александрович,236,Московская область,Луховицкая городская
Титов Борис Юрьевич,220,Московская область,Луховицкая городская
Явлинский Григорий Алексеевич,199,Московская область,Луховицкая городская
Бабурин Сергей Николаевич,167,Московская область,Лыткаринская городская
Грудинин Павел Николаевич,2586,Московская область,Лыткаринская городская
Жириновский Владимир Вольфович,1629,Московская область,Лыткаринская городская
Путин Владимир Владимирович,21991,Московская область,Лыткаринская городская
Собчак Ксения Анатольевна,520,Московская область,Лыткаринская городская
Сурайкин Максим Александрович,164,Московская область,Лыткаринская городская
Титов Борис Юрьевич,275,Московская область,Лыткаринская городская
Явлинский Григорий Алексеевич,414,Московская область,Лыткаринская городская
Бабурин Сергей Николаевич,1024,Московская область,Люберецкая городская
Грудинин Павел Николаевич,17908,Московская область,Люберецкая городская
Жириновский Владимир Вольфович,7850,Московская область,Люберецкая городская
Путин Владимир Владимирович,118351,Московская область,Люберецкая городская
Собчак Ксения Анатольевна,3187,Московская область,Люберецкая городская
Сурайкин Максим Александрович,888,Московская область,Люберецкая городская
Титов Борис Юрьевич,1367,Московская область,Люберецкая городская
Явлинский Григорий Алексеевич,2317,Московская область,Люберецкая городская
Бабурин Сергей Николаевич,211,Московская область,Можайская
Грудинин Павел Николаевич,5051,Московская область,Можайская
Жириновский Владимир Вольфович,2145,Московская область,Можайская
Путин Владимир Владимирович,28626,Московская область,Можайская
Собчак Ксения Анатольевна,447,Московская область,Можайская
Сурайкин Максим Александрович,223,Московская область,Можайская
Титов Борис Юрьевич,227,Московская область,Можайская
Явлинский Григорий Алексеевич,231,Московская область,Можайская
Бабурин Сергей Николаевич,10,Московская область,Молодежная поселковая
Грудинин Павел Николаевич,190,Московская область,Молодежная поселковая
Жириновский Владимир Вольфович,119,Московская область,Молодежная поселковая
Путин Владимир Владимирович,1098,Московская область,Молодежная поселковая
Собчак Ксения Анатольевна,27,Московская область,Молодежная поселковая
Сурайкин Максим Александрович,5,Московская область,Молодежная поселковая
Титов Борис Юрьевич,11,Московская область,Молодежная поселковая
Явлинский Григорий Алексеевич,10,Московская область,Молодежная поселковая
Бабурин Сергей Николаевич,979,Московская область,Мытищинская городская
Грудинин Павел Николаевич,14874,Московская область,Мытищинская городская
Жириновский Владимир Вольфович,6365,Московская область,Мытищинская городская
Путин Владимир Владимирович,86319,Московская область,Мытищинская городская
Собчак Ксения Анатольевна,3729,Московская область,Мытищинская городская
Сурайкин Максим Александрович,890,Московская область,Мытищинская городская
Титов Борис Юрьевич,1669,Московская область,Мытищинская городская
Явлинский Григорий Алексеевич,2437,Московская область,Мытищинская городская
Бабурин Сергей Николаевич,547,Московская область,Наро-Фоминская городская
Грудинин Павел Николаевич,10212,Московская область,Наро-Фоминская городская
Жириновский Владимир Вольфович,5439,Московская область,Наро-Фоминская городская
Путин Владимир Владимирович,63113,Московская область,Наро-Фоминская городская
Собчак Ксения Анатольевна,1769,Московская область,Наро-Фоминская городская
Сурайкин Максим Александрович,521,Московская область,Наро-Фоминская городская
Титов Борис Юрьевич,697,Московская область,Наро-Фоминская городская
Явлинский Григорий Алексеевич,857,Московская область,Наро-Фоминская городская
Бабурин Сергей Николаевич,763,Московская область,Ногинская
Грудинин Павел Николаевич,11202,Московская область,Ногинская
Жириновский Владимир Вольфович,6199,Московская область,Ногинская
Путин Владимир Владимирович,87697,Московская область,Ногинская
Собчак Ксения Анатольевна,2066,Московская область,Ногинская
Сурайкин Максим Александрович,826,Московская область,Ногинская
Титов Борис Юрьевич,905,Московская область,Ногинская
Явлинский Григорий Алексеевич,1155,Московская область,Ногинская
Бабурин Сергей Николаевич,734,Московская область,Одинцовская
Грудинин Павел Николаевич,11420,Московская область,Одинцовская
Жириновский Владимир Вольфович,4851,Московская область,Одинцовская
Путин Владимир Владимирович,73309,Московская область,Одинцовская
Собчак Ксения Анатольевна,2183,Московская область,Одинцовская
Сурайкин Максим Александрович,601,Московская область,Одинцовская
Титов Борис Юрьевич,988,Московская область,Одинцовская
Явлинский Григорий Алексеевич,1159,Московская область,Одинцовская
Бабурин Сергей Николаевич,99,Московская область,Озерская городская
Грудинин Павел Николаевич,2425,Московская область,Озерская городская
Жириновский Владимир Вольфович,1013,Московская область,Озерская городская
Путин Владимир Владимирович,11128,Московская область,Озерская городская
Собчак Ксения Анатольевна,166,Московская область,Озерская городская
Сурайкин Максим Александрович,106,Московская область,Озерская городская
Титов Борис Юрьевич,125,Московская область,Озерская городская
Явлинский Григорий Алексеевич,117,Московская область,Озерская городская
Бабурин Сергей Николаевич,383,Московская область,Орехово-Зуевская городская
Грудинин Павел Николаевич,6807,Московская область,Орехово-Зуевская городская
Жириновский Владимир Вольфович,4142,Московская область,Орехово-Зуевская городская
Путин Владимир Владимирович,48384,Московская область,Орехово-Зуевская городская
Собчак Ксения Анатольевна,1027,Московская область,Орехово-Зуевская городская
Сурайкин Максим Александрович,407,Московская область,Орехово-Зуевская городская
Титов Борис Юрьевич,431,Московская область,Орехово-Зуевская городская
Явлинский Григорий Алексеевич,631,Московская область,Орехово-Зуевская городская
Бабурин Сергей Николаевич,291,Московская область,Орехово-Зуевская
Грудинин Павел Николаевич,5030,Московская область,Орехово-Зуевская
Жириновский Владимир Вольфович,2875,Московская область,Орехово-Зуевская
Путин Владимир Владимирович,33937,Московская область,Орехово-Зуевская
Собчак Ксения Анатольевна,553,Московская область,Орехово-Зуевская
Сурайкин Максим Александрович,256,Московская область,Орехово-Зуевская
Титов Борис Юрьевич,248,Московская область,Орехово-Зуевская
Явлинский Григорий Алексеевич,313,Московская область,Орехово-Зуевская
Бабурин Сергей Николаевич,261,Московская область,Павлово-Посадская городская
Грудинин Павел Николаевич,4253,Московская область,Павлово-Посадская городская
Жириновский Владимир Вольфович,2540,Московская область,Павлово-Посадская городская
Путин Владимир Владимирович,29152,Московская область,Павлово-Посадская городская
Собчак Ксения Анатольевна,661,Московская область,Павлово-Посадская городская
Сурайкин Максим Александрович,284,Московская область,Павлово-Посадская городская
Титов Борис Юрьевич,285,Московская область,Павлово-Посадская городская
Явлинский Григорий Алексеевич,414,Московская область,Павлово-Посадская городская
Бабурин Сергей Николаевич,1157,Московская область,Подольская городская
Грудинин Павел Николаевич,20973,Московская область,Подольская городская
Жириновский Владимир Вольфович,8792,Московская область,Подольская городская
Путин Владимир Владимирович,123998,Московская область,Подольская городская
Собчак Ксения Анатольевна,3081,Московская область,Подольская городская
Сурайкин Максим Александрович,1196,Московская область,Подольская городская
Титов Борис Юрьевич,1529,Московская область,Подольская городская
Явлинский Григорий Алексеевич,2059,Московская область,Подольская городская
Бабурин Сергей Николаевич,171,Московская область,Протвинская городская
Грудинин Павел Николаевич,2980,Московская область,Протвинская городская
Жириновский Владимир Вольфович,926,Московская область,Протвинская городская
Путин Владимир Владимирович,12609,Московская область,Протвинская городская
Собчак Ксения Анатольевна,399,Московская область,Протвинская городская
Сурайкин Максим Александрович,145,Московская область,Протвинская городская
Титов Борис Юрьевич,200,Московская область,Протвинская городская
Явлинский Григорий Алексеевич,284,Московская область,Протвинская городская
Бабурин Сергей Николаевич,752,Московская область,Пушкинская
Грудинин Павел Николаевич,10665,Московская область,Пушкинская
Жириновский Владимир Вольфович,4993,Московская область,Пушкинская
Путин Владимир Владимирович,63708,Московская область,Пушкинская
Собчак Ксения Анатольевна,2168,Московская область,Пушкинская
Сурайкин Максим Александрович,624,Московская область,Пушкинская
Титов Борис Юрьевич,1006,Московская область,Пушкинская
Явлинский Григорий Алексеевич,1460,Московская область,Пушкинская
Бабурин Сергей Николаевич,112,Московская область,Пущинская городская
Грудинин Павел Николаевич,1718,Московская область,Пущинская городская
Жириновский Владимир Вольфович,509,Московская область,Пущинская городская
Путин Владимир Владимирович,6558,Московская область,Пущинская городская
Собчак Ксения Анатольевна,223,Московская область,Пущинская городская
Сурайкин Максим Александрович,78,Московская область,Пущинская городская
Титов Борис Юрьевич,125,Московская область,Пущинская городская
Явлинский Григорий Алексеевич,225,Московская область,Пущинская городская
Бабурин Сергей Николаевич,342,Московская область,Раменская
Грудинин Павел Николаевич,6610,Московская область,Раменская
Жириновский Владимир Вольфович,2611,Московская область,Раменская
Путин Владимир Владимирович,36445,Московская область,Раменская
Собчак Ксения Анатольевна,1125,Московская область,Раменская
Сурайкин Максим Александрович,359,Московская область,Раменская
Титов Борис Юрьевич,557,Московская область,Раменская
Явлинский Григорий Алексеевич,778,Московская область,Раменская
Бабурин Сергей Николаевич,301,Московская область,Реутовская городская
Грудинин Павел Николаевич,4741,Московская область,Реутовская городская
Жириновский Владимир Вольфович,2246,Московская область,Реутовская городская
Путин Владимир Владимирович,43227,Московская область,Реутовская городская
Собчак Ксения Анатольевна,1190,Московская область,Реутовская городская
Сурайкин Максим Александрович,301,Московская область,Реутовская городская
Титов Борис Юрьевич,618,Московская область,Реутовская городская
Явлинский Григорий Алексеевич,791,Московская область,Реутовская городская
Бабурин Сергей Николаевич,61,Московская область,Рошальская городская
Грудинин Павел Николаевич,1141,Московская область,Рошальская городская
Жириновский Владимир Вольфович,798,Московская область,Рошальская городская
Путин Владимир Владимирович,9402,Московская область,Рошальская городская
Собчак Ксения Анатольевна,126,Московская область,Рошальская городская
Сурайкин Максим Александрович,88,Московская область,Рошальская городская
Титов Борис Юрьевич,110,Московская область,Рошальская городская
Явлинский Григорий Алексеевич,93,Московская область,Рошальская городская
Бабурин Сергей Николаевич,202,Московская область,Рузская городская
Грудинин Павел Николаевич,5353,Московская область,Рузская городская
Жириновский Владимир Вольфович,2309,Московская область,Рузская городская
Путин Владимир Владимирович,23086,Московская область,Рузская городская
Собчак Ксения Анатольевна,420,Московская область,Рузская городская
Сурайкин Максим Александрович,203,Московская область,Рузская городская
Титов Борис Юрьевич,209,Московская область,Рузская городская
Явлинский Григорий Алексеевич,260,Московская область,Рузская городская
Бабурин Сергей Николаевич,978,Московская область,Сергиево-Посадская
Грудинин Павел Николаевич,13215,Московская область,Сергиево-Посадская
Жириновский Владимир Вольфович,6794,Московская область,Сергиево-Посадская
Путин Владимир Владимирович,98066,Московская область,Сергиево-Посадская
Собчак Ксения Анатольевна,2116,Московская область,Сергиево-Посадская
Сурайкин Максим Александрович,920,Московская область,Сергиево-Посадская
Титов Борис Юрьевич,1072,Московская область,Сергиево-Посадская
Явлинский Григорий Алексеевич,1522,Московская область,Сергиево-Посадская
Бабурин Сергей Николаевич,46,Московская область,Серебряно-Прудская городская
Грудинин Павел Николаевич,2217,Московская область,Серебряно-Прудская городская
Жириновский Владимир Вольфович,510,Московская область,Серебряно-Прудская городская
Путин Владимир Владимирович,9081,Московская область,Серебряно-Прудская городская
Собчак Ксения Анатольевна,74,Московская область,Серебряно-Прудская городская
Сурайкин Максим Александрович,55,Московская область,Серебряно-Прудская городская
Титов Борис Юрьевич,39,Московская область,Серебряно-Прудская городская
Явлинский Григорий Алексеевич,37,Московская область,Серебряно-Прудская городская
Бабурин Сергей Николаевич,509,Московская область,Серпуховская городская
Грудинин Павел Николаевич,9109,Московская область,Серпуховская городская
Жириновский Владимир Вольфович,3931,Московская область,Серпуховская городская
Путин Владимир Владимирович,55364,Московская область,Серпуховская городская
Собчак Ксения Анатольевна,1041,Московская область,Серпуховская городская
